epoch	iteration	time	MSE_train	MAE_train	loss_train	MSE_valid	MAE_valid	loss_valid
0	75	162.69227194786072	0.6463859350440726	0.720726837360018	49.143497347831726	0.5744460228639974	0.681888950425525	10.883916586637497
1	75	2750.493156194687	0.6428868965860637	0.7296069606211175	48.54579946398735	0.577984242812367	0.692154785129319	10.953624069690704
2	75	2925.356549024582	0.6323812376372702	0.7249761150585665	48.23303014039993	0.5714643908708833	0.6894781829114768	10.830874055624008
3	75	5469.008026123047	0.6060951697139356	0.7245652097389411	46.28542795777321	0.5778804189835823	0.7018325243677411	10.95922914147377
4	75	5642.68927693367	0.44514183443183925	0.5785245169618812	34.04609216749668	0.4593036574659184	0.5865036540748273	8.711943805217743
5	75	7918.591853141785	0.45537701564798977	0.5848898579718166	34.51417940855026	0.5412764880171613	0.6340893898097384	10.260132774710655
6	75	8093.416277170181	0.4324334595998296	0.5227080570031498	32.88601918518543	0.6014480089988206	0.6116532817284926	11.391083478927612
7	75	8266.719376325607	0.32009418843076326	0.44440459124280207	24.2398172467947	0.5539174014755813	0.5783272740056744	10.496188998222351
8	75	8440.28944158554	0.1422477438000395	0.268753344630552	10.728523345664144	0.4293970880461034	0.4744996059797333	8.133014492690563
9	75	10501.761132955551	0.05849576181558327	0.15450366321502879	4.449931899085641	0.42348604527565603	0.4557631476550205	8.023430079221725
10	75	12399.917796373367	0.027908438019720774	0.09749943505184284	2.104494135361165	0.43898868930523294	0.4541709513288994	8.307061076164246
11	75	12571.708023548126	0.023059732526837205	0.08020267943499988	1.7630587541498244	0.4408482514239295	0.43902683113253	8.350261002779007
12	75	12744.533628940582	0.035360083894940046	0.11364604617117352	2.6744762521702796	0.4776374535344597	0.4612063222202748	9.045766413211823
13	75	12917.931588172913	0.02226855138976987	0.09625700860906439	1.6859297435730696	0.44136860011340295	0.4534530748684343	8.365862645208836
14	75	13090.09236574173	0.006966795971786382	0.04714569438604398	0.5291744275018573	0.4359927046397356	0.44650644932771444	8.252711921930313
15	75	13264.766719341278	0.005138279639427379	0.032196021185129015	0.3890134745161049	0.43992911521084815	0.4432399092471085	8.332629047334194
16	75	13439.400739908218	0.0059956701231980635	0.043500392423378484	0.45704418973764405	0.4301379465985838	0.4444222653352739	8.148531958460808
17	75	13613.669881105423	0.004157533060106486	0.031830895413872615	0.3159667063737288	0.43889836921115266	0.44867991222891696	8.315200947225094
18	75	13787.31483054161	0.0049408272007261875	0.03438570811973568	0.3744722923147492	0.4505365082250898	0.44715511203554775	8.530902497470379
19	75	13959.09891796112	0.004027228494588331	0.0261173902334514	0.30371372480294667	0.44363299992199273	0.445824850177349	8.405817069113255
20	75	14134.227728366852	0.00752222283641445	0.045707467844501075	0.5665983192739077	0.4386629222278344	0.45077828077778864	8.314898312091827
21	75	14309.799991846085	0.007171028084092014	0.046044628770395925	0.5416220525512472	0.43576382808042274	0.4493327180164993	8.257375597953796
22	75	14484.886655807495	0.006048793526791892	0.03807133337274132	0.45884966889570933	0.4396194380512349	0.4448931507543472	8.324485793709755
23	75	14658.812507867813	0.012057821754853277	0.06307539000365249	0.9126530822832137	0.4371744642011627	0.4509966422701595	8.286267504096031
24	75	14833.079489469528	0.007154081375667914	0.040922460330967095	0.5418229207280092	0.43108816871488354	0.44291811723546726	8.167592227458954
25	75	15005.376597642899	0.023561735824061177	0.08679270044711121	1.778807787806727	0.44889019298952526	0.44050249597212404	8.5069030970335
26	75	15178.090094566345	0.010746052848040906	0.05373781826424401	0.8093617520062253	0.4490113600933458	0.4537046034866789	8.504481062293053
27	75	15350.906270742416	0.008447377608949582	0.04948216770076158	0.6371257381979376	0.4340511344337305	0.45112174660264454	8.218152813613415
28	75	15526.020191431046	0.010631991205696386	0.05502100893879827	0.80259869719157	0.43480974797468136	0.44083848008978804	8.231127798557281
29	75	15703.18260717392	0.008065893071935122	0.04467705495933774	0.6109107788652182	0.42606677337065557	0.44106311364674883	8.068443715572357
